variant,label,signal_date,signal_close,effective_from,exit_date,exit_price,exit_origin,status,net_return,trade_drawdown,trade_days,baseline_next_buy,days_to_baseline_buy,rsi,momentum_7d,volume_rel_20,distance_sma200,sma50_slope_5d,confirmation_reference,confirmation_margin
rsi40_mean10,Sensibilita': RSI >=40 e media10,2020-01-15,166.29,2020-01-16,2020-02-19,258.66,trail8_exit,closed,0.5505018351650732,-0.09700632270234388,35,2020-05-28,134.0,70.7352442673671,0.18271692745376944,1.050578830597526,-0.09712049361105102,0.004172469732023787,144.411,0.15150507925296552
rsi40_mean10,Sensibilita': RSI >=40 e media10,2020-05-07,212.47,2020-05-08,2020-05-10,187.73,trail8_exit,closed,-0.11926509818421438,-0.11643996799548173,3,2020-05-28,21.0,62.94168107682831,0.03025747951316493,0.28878480748864654,0.22294710855921962,0.056084522029947736,206.34700000000004,0.029673317276238453
rsi40_mean10,Sensibilita': RSI >=40 e media10,2022-03-28,3334.47,2022-03-29,2022-04-06,3168.52,trail8_exit,closed,-0.052806338815104104,-0.10056262383685621,9,2023-02-15,324.0,71.18485005502046,0.1533648325193353,0.4543042923855891,-0.04413656354156148,0.010968149354382506,3031.3469999999998,0.09999614032969495
rsi40_mean10,Sensibilita': RSI >=40 e media10,2023-01-06,1268.84,2023-01-07,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,2023-02-15,40.0,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.08657795325115425,0.0012527289960140298,1212.9360000000001,0.04608981842405524
rsi40_mean10,Sensibilita': RSI >=40 e media10,2023-10-24,1785.28,2023-10-25,2024-01-23,2240.81,sma50_exit,closed,0.2511455595052876,-0.14417696911366495,91,2023-11-22,29.0,72.72115346446685,0.1405790805243925,2.1173409985681864,0.00014263102362566116,0.003394698561620224,1607.4330000000002,0.11064038127872178
rsi40_mean10,Sensibilita': RSI >=40 e media10,2024-11-06,2724.27,2024-11-07,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,2024-12-09,33.0,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.07900863009147197,0.0053974182089220335,2516.0719999999997,0.08274723457834288
rsi40_mean10,Sensibilita': RSI >=40 e media10,2025-05-12,2495.83,2025-05-13,2025-06-05,2415.34,trail8_exit,closed,-0.03534411587712305,-0.09947952396575888,24,2025-07-02,51.0,78.29046314900906,0.37122215202043773,0.5578141417361171,-0.07587598973582255,0.02425600056888433,2058.554,0.21241900868279373
rsi40_mean10,Sensibilita': RSI >=40 e media10,2025-06-10,2816.5,2025-06-11,2025-06-13,2580.21,trail8_exit,closed,-0.08682409609884623,-0.0838949050239659,3,2025-07-02,22.0,67.1300706139388,0.08534390739220732,1.185290178573573,0.05977045142496151,0.045761698199809464,2549.487,0.10473205001633668
rsi40_mean10,Sensibilita': RSI >=40 e media10,2026-01-06,3295.59,2026-01-07,2026-01-20,2936.5,sma50_exit,closed,-0.1118098072150967,-0.12469223386053507,14,,,68.54809241231482,0.1094693679681662,0.5843875941177006,-0.08726234399307764,0.0019207979396462793,3038.638,0.0845615700191995
rsi40_mean10,Sensibilita': RSI >=40 e media10,2026-07-28,1919.9,2026-07-29,,,,open,0.25950559924996086,-0.039960414604927386,25,,,58.17682597199675,-0.0047174701918091255,0.21681209731332074,-0.09784241770713697,0.013799512323345198,1895.182,0.013042546837190416
rsi40_high5,Diagnostica: RSI >=40 e massimo5 senza momentum7,2017-02-01,10.72,2017-02-02,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,2017-03-18,45.0,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966,10.7,0.0018691588785046953
rsi40_high5,Diagnostica: RSI >=40 e massimo5 senza momentum7,2018-05-03,775.51,2018-05-04,2018-05-11,678.05,trail8_exit,closed,-0.12846774921277626,-0.16496305418719215,8,2019-04-23,355.0,71.61990046759124,0.17323751891074135,0.46839802995781965,0.18793984705567435,0.003179446066632119,687.51,0.12799813820889883
rsi40_high5,Diagnostica: RSI >=40 e massimo5 senza momentum7,2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,136.52,0.018751831233518867
